County,City,Name,Type
Clark,Washougal,CHEVROLET VOLT,Vehicle
King,Seattle,CHEVROLET BOLT EV,Vehicle
Snohomish,Marysville,MERCEDES-BENZ GLE-CLASS,Vehicle
King,Seattle,VOLKSWAGEN E-GOLF,Vehicle
King,Bellevue,TESLA MODEL Y,Vehicle
Lewis,Centralia,CHRYSLER PACIFICA,Vehicle
King,Seattle,PORSCHE CAYENNE,Vehicle
Pierce,Bonney Lake,KIA SPORTAGE,Vehicle
Pierce,Gig Harbor,TESLA MODEL 3,Vehicle
King,Bothell,KIA EV6,Vehicle
King,Bellevue,TESLA MODEL X,Vehicle
Thurston,Olympia,CHEVROLET BOLT EV,Vehicle
King,Seattle,TOYOTA BZ4X,Vehicle
Kitsap,Bremerton,TESLA MODEL 3,Vehicle
Benton,Kennewick,TOYOTA PRIUS PRIME (PHEV),Vehicle
King,Kent,FIAT 500E,Vehicle
Clark,Vancouver,CHEVROLET BOLT EUV,Vehicle
King,Seattle,VOLVO EX30,Vehicle
King,Bellevue,TESLA MODEL Y,Vehicle
Lewis,Chehalis,TESLA MODEL S,Vehicle
King,Tukwila,CHEVROLET BOLT EV,Vehicle
Thurston,Lacey,TESLA MODEL Y,Vehicle
King,Seattle,KIA SPORTAGE,Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
Thurston,Rainier,VOLKSWAGEN ID.4,Vehicle
King,Lake Forest Park,TESLA MODEL 3,Vehicle
Kitsap,Bremerton,KIA NIRO,Vehicle
King,Kirkland,TESLA MODEL Y,Vehicle
Whatcom,Bellingham,FORD FUSION,Vehicle
King,Bellevue,TESLA MODEL Y,Vehicle
King,Seattle,HYUNDAI IONIQ 5,Vehicle
King,Seattle,FIAT 500E,Vehicle
Walla Walla,Walla Walla,SUBARU SOLTERRA,Vehicle
Snohomish,Mukilteo,TESLA MODEL S,Vehicle
King,Federal Way,NISSAN LEAF,Vehicle
Pierce,Tacoma,CHEVROLET SPARK,Vehicle
King,Kirkland,KIA EV9,Vehicle
Snohomish,Bothell,TESLA MODEL Y,Vehicle
King,Seattle,VOLKSWAGEN ID.4,Vehicle
King,Auburn,TESLA MODEL 3,Vehicle
King,Seattle,TESLA MODEL Y,Vehicle
Pierce,Tacoma,FORD F-150,Vehicle
King,Mercer Island,VOLKSWAGEN ID.4,Vehicle
Clallam,Sequim,TESLA MODEL 3,Vehicle
Pierce,South Hill,BMW X5,Vehicle
King,Seattle,KIA EV6,Vehicle
King,Bellevue,TESLA MODEL 3,Vehicle
King,Bellevue,FORD FUSION,Vehicle
King,Federal Way,GENESIS GV70,Vehicle
Kitsap,Bremerton,TESLA MODEL Y,Vehicle
King,Seattle,CHEVROLET VOLT,Vehicle
King,Bellevue,TESLA MODEL Y,Vehicle
San Juan,Friday Harbor,TESLA MODEL S,Vehicle
King,Bellevue,TESLA MODEL Y,Vehicle
Thurston,Olympia,NISSAN LEAF,Vehicle
King,Issaquah,BMW 330E,Vehicle
Clark,Vancouver,TESLA MODEL 3,Vehicle
King,Sammamish,CHEVROLET BOLT EV,Vehicle
Snohomish,Snohomish,TESLA MODEL Y,Vehicle
King,Kent,HYUNDAI IONIQ 6,Vehicle
King,Seattle,AUDI A3,Vehicle
Pierce,Tacoma,KIA EV9,Vehicle
Kitsap,Port Orchard,RIVIAN R1T,Vehicle
King,Seattle,HYUNDAI IONIQ 5,Vehicle
King,Redmond,TESLA MODEL Y,Vehicle
Grant,Coulee City,TESLA MODEL Y,Vehicle
King,Renton,RIVIAN R1T,Vehicle
Thurston,Rainier,TOYOTA RAV4 PRIME (PHEV),Vehicle
King,Issaquah,TESLA MODEL 3,Vehicle
King,Kirkland,JEEP WRANGLER,Vehicle
King,North Bend,TESLA MODEL 3,Vehicle
King,Seattle,HYUNDAI KONA,Vehicle
King,Kirkland,TESLA MODEL Y,Vehicle
Snohomish,Mountlake Terrace,KIA SOUL,Vehicle
King,Kirkland,RIVIAN R1S,Vehicle
Clark,Vancouver,BMW IX,Vehicle
Snohomish,Mukilteo,TESLA MODEL S,Vehicle
King,Kirkland,TESLA MODEL 3,Vehicle
King,Seattle,TESLA MODEL X,Vehicle
King,Bothell,CHRYSLER PACIFICA,Vehicle
Snohomish,Monroe,TESLA MODEL X,Vehicle
San Juan,Friday Harbor,CHEVROLET BOLT EV,Vehicle
King,Seattle,TESLA MODEL S,Vehicle
King,Seattle,TESLA MODEL Y,Vehicle
Clark,Vancouver,TESLA MODEL Y,Vehicle
King,Auburn,KIA SOUL,Vehicle
Clallam,Sequim,CHEVROLET VOLT,Vehicle
King,Kirkland,BMW X5,Vehicle
King,Issaquah,TESLA MODEL Y,Vehicle
King,Seattle,TESLA MODEL 3,Vehicle
King,Seattle,KIA EV6,Vehicle
Spokane,Newman Lake,TESLA MODEL S,Vehicle
King,Federal Way,FORD F-150,Vehicle
King,Bellevue,NISSAN LEAF,Vehicle
King,Kirkland,TESLA MODEL 3,Vehicle
Thurston,Tumwater,KIA EV6,Vehicle
Kitsap,Bainbridge Island,CHEVROLET BOLT EV,Vehicle
Pierce,Graham,TESLA MODEL 3,Vehicle
Pierce,Gig Harbor,HYUNDAI IONIQ 9,Vehicle
King,Federal Way,CHEVROLET BOLT EV,Vehicle
Snohomish,Everett,TESLA MODEL Y,Vehicle
King,Redmond,TESLA MODEL 3,Vehicle
King,Seattle,KIA SPORTAGE,Vehicle
King,Auburn,FORD MUSTANG MACH-E,Vehicle
